exp_name,sit_name,plt_name,plt_block,plt_rep,plt_lat,plt_long,plt_treat_heat,plt_heat_level,plt_treat_add_name,plt_treat_add_level,plt_treat_add_units,plt_notes
SWELTR,BCI,1_W,,1,,,treatment,4,,,,
SWELTR,BCI,2_C,,1,,,control,0,,,,
SWELTR,BCI,3_W,,1,,,treatment,4,,,,
SWELTR,BCI,4_C,,1,,,control,0,,,,
SWELTR,BCI,5_W,,1,,,treatment,4,,,,
SWELTR,BCI,6_C,,1,,,control,0,,,,
SWELTR,BCI,7_W,,1,,,treatment,4,,,,
SWELTR,BCI,8_C,,1,,,control,0,,,,
SWELTR,BCI,9_W,,1,,,treatment,4,,,,
SWELTR,BCI,10_C,,1,,,control,0,,,,





































































